Market,Year,Month,Listing Rate,Total Vacancy Rate
Philadelphia,2020,6,28.72,13.6
Twin Cities,2020,6,26.95,14.9
Seattle,2020,6,37.77,9.0
Washington DC,2020,6,40.39,17.1
Chicago,2020,6,28.81,15.4
Phoenix,2020,6,26.71,21.9
Dallas,2020,6,27.69,19.5
Orlando,2020,6,21.44,14.0
Boston,2020,6,33.94,11.0
Brooklyn,2020,6,51.28,18.7
National,2021,3,38.67,15.6
Bay Area,2021,3,57.11,19.3
Washington DC,2021,3,42.21,15.8
New Jersey,2021,3,33.04,18.6
Los Angeles,2021,3,40.43,13.8
Atlanta,2021,3,27.68,19.6
San Diego,2021,3,40.58,14.0
Nashville,2021,3,31.34,19.0
Miami,2021,3,42.22,15.6
Phoenix,2021,3,27.72,18.5
Denver,2021,3,28.72,16.0
Austin,2021,3,42.4,16.0
Philadelphia,2021,3,29.36,13.4
Orlando,2021,3,21.32,14.9
Manhattan,2021,3,85.82,10.7
Tampa,2021,3,28.35,15.1
Portland,2021,3,30.17,15.0
Dallas,2021,3,28.35,19.1
Charlotte,2021,3,28.94,14.2
Brooklyn,2021,3,50.61,15.8
San Francisco,2021,3,69.66,13.5
Boston,2021,3,33.51,12.0
Houston,2021,3,29.59,24.0
Seattle,2021,3,35.52,13.9
Twin Cities,2021,3,26.53,16.0
Chicago,2021,3,27.59,17.4
National,2024,6,31.67,18.1
Boston,2024,6,47.6,12.8
Dallas,2024,6,28.99,21.8
Miami,2024,6,49.79,12.0
Atlanta,2024,6,32.02,18.4
Tampa,2024,6,29.23,13.3
Detroit,2024,6,22.0,19.2
Philadelphia,2024,6,31.56,15.3
Chicago,2024,6,27.81,19.1
Manhattan,2024,6,71.34,16.6
New Jersey,2024,6,34.8,17.0
Austin,2024,6,42.52,22.9
Denver,2024,6,30.62,22.1
Orlando,2024,6,24.47,15.6
Phoenix,2024,6,27.68,18.3
Bay Area,2024,6,53.28,20.8
Nashville,2024,6,30.01,16.0
Charlotte,2024,6,30.39,14.9
Washington DC,2024,6,39.78,16.2
Houston,2024,6,29.68,23.8
Los Angeles,2024,6,41.06,17.0
Portland,2024,6,27.56,17.1
Seattle,2024,6,36.65,23.2
San Francisco,2024,6,60.99,25.4
Twin Cities,2024,6,24.93,16.1
San Diego,2024,6,42.05,18.0
National,2019,3,36.09,13.7
San Francisco,2019,3,66.04,9.0
Brooklyn,2019,3,55.13,8.3
Bay Area,2019,3,46.07,15.0
Houston,2019,3,29.21,21.3
Charlotte,2019,3,27.74,10.5
Philadelphia,2019,3,29.45,12.3
Austin,2019,3,37.99,9.3
Washington DC,2019,3,39.23,14.7
Los Angeles,2019,3,38.23,13.3
Nashville,2019,3,28.64,10.9
Phoenix,2019,3,26.76,16.8
Atlanta,2019,3,25.97,16.3
Boston,2019,3,37.66,9.9
Miami,2019,3,37.92,13.3
Dallas,2019,3,27.45,18.9
Twin Cities,2019,3,26.09,12.6
Chicago,2019,3,29.72,15.2
Manhattan,2019,3,74.6,8.4
San Diego,2019,3,37.15,12.1
Denver,2019,3,27.97,13.8
Portland,2019,3,27.57,12.6
Tampa,2019,3,25.06,10.8
Orlando,2019,3,21.16,13.3
Seattle,2019,3,37.01,8.8
New Jersey,2019,3,30.89,20.3
National,2020,11,38.0,13.8
Bay Area,2020,11,54.76,13.8
San Diego,2020,11,40.27,13.8
Austin,2020,11,42.42,11.3
New Jersey,2020,11,32.76,16.8
Washington DC,2020,11,41.27,14.8
Orlando,2020,11,21.44,14.4
Miami,2020,11,42.46,13.7
Nashville,2020,11,31.69,15.0
Houston,2020,11,29.8,22.0
Charlotte,2020,11,28.76,9.7
Los Angeles,2020,11,38.93,13.0
Philadelphia,2020,11,29.29,12.7
Phoenix,2020,11,27.31,17.2
Manhattan,2020,11,85.65,9.9
Atlanta,2020,11,26.97,17.7
Denver,2020,11,28.61,14.1
Portland,2020,11,28.88,12.4
Chicago,2020,11,28.15,15.3
Twin Cities,2020,11,26.9,11.3
Seattle,2020,11,35.99,10.2
Dallas,2020,11,27.7,18.3
Brooklyn,2020,11,51.01,13.3
Boston,2020,11,33.75,10.6
Tampa,2020,11,27.89,11.5
San Francisco,2020,11,64.8,10.7
National,2022,2,38.62,15.7
Los Angeles,2022,2,41.62,13.3
Bay Area,2022,2,55.79,14.8
Tampa,2022,2,29.7,16.2
Miami,2022,2,43.43,13.1
Denver,2022,2,30.25,16.5
Austin,2022,2,43.7,15.4
Boston,2022,2,34.81,10.5
Philadelphia,2022,2,29.6,14.2
Washington DC,2022,2,42.01,16.6
Orlando,2022,2,22.13,16.7
Nashville,2022,2,30.9,18.9
Phoenix,2022,2,28.01,15.5
New Jersey,2022,2,33.14,17.4
San Diego,2022,2,38.9,14.0
Dallas,2022,2,28.66,17.1
Portland,2022,2,29.97,14.3
Atlanta,2022,2,27.64,22.3
Charlotte,2022,2,29.0,15.3
Chicago,2022,2,28.12,20.3
Houston,2022,2,30.18,24.8
Twin Cities,2022,2,26.8,14.5
San Francisco,2022,2,69.18,16.8
Manhattan,2022,2,83.52,13.1
Seattle,2022,2,35.79,14.9
Brooklyn,2022,2,48.08,17.8
National,2023,2,38.28,16.5
Orlando,2023,2,24.62,16.3
San Diego,2023,2,44.97,13.2
Seattle,2023,2,38.63,18.2
Charlotte,2023,2,34.49,12.7
Philadelphia,2023,2,31.24,14.3
San Francisco,2023,2,67.25,19.2
Atlanta,2023,2,30.6,20.5
New Jersey,2023,2,33.63,17.0
Nashville,2023,2,31.59,17.5
Chicago,2023,2,28.23,19.2
Manhattan,2023,2,76.04,16.0
Miami,2023,2,46.89,12.8
Tampa,2023,2,28.41,16.4
Phoenix,2023,2,27.38,17.1
Bay Area,2023,2,57.1,17.6
Houston,2023,2,30.48,22.5
Los Angeles,2023,2,42.7,14.6
Dallas,2023,2,28.95,16.8
Denver,2023,2,30.06,17.6
Twin Cities,2023,2,26.05,15.5
Washington DC,2023,2,40.52,13.8
Austin,2023,2,41.0,20.4
Portland,2023,2,27.99,14.6
Boston,2023,2,35.77,9.8
Brooklyn,2023,2,44.22,18.6
National,2021,5,38.36,15.6
Los Angeles,2021,5,41.04,13.6
Bay Area,2021,5,55.4,18.9
Boston,2021,5,35.13,11.9
New Jersey,2021,5,33.32,18.9
Philadelphia,2021,5,29.88,13.7
Miami,2021,5,43.15,14.8
Atlanta,2021,5,27.69,19.6
Denver,2021,5,29.85,16.4
Nashville,2021,5,31.46,19.4
Washington DC,2021,5,41.65,15.8
Austin,2021,5,43.48,16.7
Tampa,2021,5,29.03,15.3
San Diego,2021,5,39.29,14.2
Phoenix,2021,5,27.8,17.9
Orlando,2021,5,21.63,15.6
Chicago,2021,5,28.24,16.8
Dallas,2021,5,28.48,18.7
Charlotte,2021,5,29.08,12.9
Twin Cities,2021,5,26.85,15.8
Seattle,2021,5,35.28,15.8
Houston,2021,5,29.58,23.6
Portland,2021,5,29.48,16.0
Manhattan,2021,5,82.5,10.4
San Francisco,2021,5,67.73,13.9
Brooklyn,2021,5,47.88,15.2
National,2020,3,37.99,12.8
Manhattan,2020,3,85.84,7.4
Miami,2020,3,41.48,12.0
Bay Area,2020,3,50.38,12.8
Tampa,2020,3,29.09,10.6
San Diego,2020,3,39.07,11.6
San Francisco,2020,3,71.64,6.9
Atlanta,2020,3,27.09,15.7
Portland,2020,3,29.92,11.9
Twin Cities,2020,3,27.0,11.3
Charlotte,2020,3,28.88,9.4
Los Angeles,2020,3,39.39,11.0
Austin,2020,3,41.31,7.4
Houston,2020,3,29.91,20.6
Orlando,2020,3,21.47,11.2
Phoenix,2020,3,26.93,17.0
Washington DC,2020,3,39.51,13.7
Denver,2020,3,28.31,12.1
Seattle,2020,3,37.92,7.7
New Jersey,2020,3,31.58,20.6
Dallas,2020,3,27.6,17.6
Nashville,2020,3,30.67,11.1
Philadelphia,2020,3,28.45,12.7
Chicago,2020,3,28.79,13.7
Brooklyn,2020,3,53.11,11.5
Boston,2020,3,33.57,9.6
National,2021,6,38.6,15.6
Boston,2021,6,35.46,11.7
Los Angeles,2021,6,41.29,13.1
Bay Area,2021,6,55.56,18.6
Miami,2021,6,43.11,14.6
Denver,2021,6,29.79,16.6
Austin,2021,6,43.33,16.4
Nashville,2021,6,31.68,18.8
Philadelphia,2021,6,29.97,13.4
Tampa,2021,6,28.93,15.9
Washington DC,2021,6,41.79,16.8
New Jersey,2021,6,33.06,19.4
Phoenix,2021,6,27.94,18.0
Atlanta,2021,6,27.72,20.0
Orlando,2021,6,22.04,15.6
Dallas,2021,6,28.73,18.5
Charlotte,2021,6,29.13,12.3
Chicago,2021,6,28.15,16.9
Twin Cities,2021,6,26.96,15.9
Houston,2021,6,30.12,23.3
Portland,2021,6,30.27,15.2
San Diego,2021,6,38.57,14.3
Seattle,2021,6,35.99,15.0
Manhattan,2021,6,83.6,10.9
San Francisco,2021,6,68.59,14.3
Brooklyn,2021,6,48.08,16.2
National,2021,4,38.32,16.0
Los Angeles,2021,4,40.65,14.0
Washington DC,2021,4,42.22,15.8
Boston,2021,4,34.42,12.2
Miami,2021,4,42.94,15.5
Bay Area,2021,4,54.68,19.2
Austin,2021,4,43.54,17.1
New Jersey,2021,4,33.07,20.0
Atlanta,2021,4,27.72,20.0
Phoenix,2021,4,27.79,18.7
Philadelphia,2021,4,29.78,14.1
San Diego,2021,4,40.1,14.6
Nashville,2021,4,31.35,19.7
Tampa,2021,4,28.64,15.3
Denver,2021,4,29.16,16.0
Orlando,2021,4,21.27,16.1
Dallas,2021,4,28.24,19.2
Charlotte,2021,4,28.9,15.2
Portland,2021,4,29.76,15.3
Twin Cities,2021,4,26.83,15.8
Chicago,2021,4,27.83,17.9
Seattle,2021,4,35.47,14.7
Houston,2021,4,29.68,23.9
Manhattan,2021,4,82.69,11.3
San Francisco,2021,4,68.23,14.1
Brooklyn,2021,4,48.94,15.3
National,2023,9,37.78,17.8
Boston,2023,9,44.88,10.3
Atlanta,2023,9,31.41,18.7
New Jersey,2023,9,34.53,17.6
Twin Cities,2023,9,26.71,16.9
Seattle,2023,9,37.87,22.3
Houston,2023,9,30.66,24.9
Orlando,2023,9,24.31,16.5
Denver,2023,9,30.85,20.7
Chicago,2023,9,28.11,17.9
Phoenix,2023,9,27.9,18.8
Philadelphia,2023,9,30.93,14.0
Austin,2023,9,42.26,21.2
Tampa,2023,9,28.17,15.1
Bay Area,2023,9,53.8,19.9
Manhattan,2023,9,70.05,17.7
San Diego,2023,9,43.14,15.1
Washington DC,2023,9,40.57,16.0
San Francisco,2023,9,65.18,24.2
Nashville,2023,9,29.99,16.6
Los Angeles,2023,9,41.81,16.5
Dallas,2023,9,27.28,19.0
Charlotte,2023,9,32.23,16.2
Portland,2023,9,28.61,16.6
Miami,2023,9,45.47,13.8
Brooklyn,2023,9,45.46,16.7
National,2021,12,38.44,15.5
Boston,2021,12,38.37,10.3
San Diego,2021,12,42.73,14.1
Phoenix,2021,12,30.01,15.3
Atlanta,2021,12,29.21,21.5
Tampa,2021,12,30.9,16.9
Denver,2021,12,30.75,16.3
Miami,2021,12,45.27,12.5
Los Angeles,2021,12,42.33,13.2
Orlando,2021,12,22.68,16.0
Charlotte,2021,12,30.38,14.6
Bay Area,2021,12,57.15,16.1
Dallas,2021,12,30.03,17.6
New Jersey,2021,12,34.51,17.4
Austin,2021,12,43.61,17.0
Houston,2021,12,30.27,24.3
Philadelphia,2021,12,29.78,14.3
Washington DC,2021,12,41.78,16.5
Chicago,2021,12,28.19,18.8
Nashville,2021,12,30.54,17.7
Portland,2021,12,29.47,13.7
Twin Cities,2021,12,26.52,14.6
Brooklyn,2021,12,49.88,17.4
San Francisco,2021,12,63.46,15.1
Seattle,2021,12,35.67,16.1
Manhattan,2021,12,76.45,12.8
National,2022,12,38.19,16.5
Charlotte,2022,12,34.06,13.2
Orlando,2022,12,24.14,16.1
Seattle,2022,12,38.54,18.4
San Diego,2022,12,43.59,14.2
San Francisco,2022,12,67.18,19.3
Miami,2022,12,47.0,11.8
Philadelphia,2022,12,31.3,13.7
Atlanta,2022,12,30.36,20.0
Nashville,2022,12,31.42,18.0
Phoenix,2022,12,27.68,16.0
Chicago,2022,12,27.79,19.5
Manhattan,2022,12,76.09,15.2
Portland,2022,12,30.46,17.3
Washington DC,2022,12,41.46,13.6
Bay Area,2022,12,55.88,17.5
Los Angeles,2022,12,42.6,14.9
New Jersey,2022,12,33.13,17.2
Houston,2022,12,29.64,25.8
Twin Cities,2022,12,25.81,14.9
Boston,2022,12,37.34,9.0
Dallas,2022,12,28.82,18.5
Denver,2022,12,29.87,18.3
Tampa,2022,12,27.98,16.5
Austin,2022,12,40.99,19.6
Brooklyn,2022,12,42.29,19.1
National,2020,4,37.89,13.1
Manhattan,2020,4,86.19,7.9
Miami,2020,4,41.62,11.8
San Diego,2020,4,38.88,11.6
Tampa,2020,4,29.49,11.3
Atlanta,2020,4,27.09,15.6
Charlotte,2020,4,29.1,9.5
Portland,2020,4,29.86,12.4
Houston,2020,4,30.21,21.6
San Francisco,2020,4,72.01,6.9
Washington DC,2020,4,39.8,14.3
Denver,2020,4,28.29,12.0
Los Angeles,2020,4,38.97,11.4
Twin Cities,2020,4,27.07,11.2
Bay Area,2020,4,48.41,13.7
Dallas,2020,4,27.57,17.3
Orlando,2020,4,21.53,12.7
Seattle,2020,4,37.55,8.4
New Jersey,2020,4,31.46,20.8
Chicago,2020,4,28.97,14.1
Phoenix,2020,4,26.4,17.3
Philadelphia,2020,4,28.56,12.7
Austin,2020,4,41.32,7.4
Brooklyn,2020,4,51.18,12.0
Nashville,2020,4,29.18,10.6
Boston,2020,4,32.23,9.9
National,2022,4,37.37,15.7
Charlotte,2022,4,32.29,14.5
Miami,2022,4,47.76,13.5
Boston,2022,4,37.54,9.8
Brooklyn,2022,4,52.95,18.2
Orlando,2022,4,22.87,15.6
Atlanta,2022,4,29.58,20.7
Los Angeles,2022,4,42.2,12.9
Seattle,2022,4,36.68,15.7
Denver,2022,4,30.21,17.5
San Diego,2022,4,40.58,13.1
Bay Area,2022,4,56.95,16.0
Dallas,2022,4,28.78,17.3
Houston,2022,4,30.55,24.8
New Jersey,2022,4,32.52,18.2
Phoenix,2022,4,26.76,15.1
Austin,2022,4,42.29,15.4
Nashville,2022,4,30.62,18.3
Tampa,2022,4,27.63,15.6
Philadelphia,2022,4,28.86,13.5
Chicago,2022,4,27.26,20.2
Washington DC,2022,4,40.2,15.2
Twin Cities,2022,4,25.46,13.7
Portland,2022,4,28.2,13.0
San Francisco,2022,4,63.71,17.4
Manhattan,2022,4,71.87,14.2
National,2019,7,36.95,13.5
San Francisco,2019,7,75.43,8.1
Tampa,2019,7,30.39,11.9
Brooklyn,2019,7,58.26,7.8
Austin,2019,7,40.05,8.8
Manhattan,2019,7,79.82,8.1
Bay Area,2019,7,46.82,14.6
Dallas,2019,7,28.85,18.4
Phoenix,2019,7,27.35,16.4
Philadelphia,2019,7,28.86,13.0
Miami,2019,7,38.59,14.0
Los Angeles,2019,7,37.48,13.1
Twin Cities,2019,7,26.93,12.5
Houston,2019,7,28.87,21.6
Atlanta,2019,7,26.01,16.2
Charlotte,2019,7,28.13,10.4
New Jersey,2019,7,31.53,20.8
San Diego,2019,7,37.14,12.2
Denver,2019,7,27.96,13.7
Portland,2019,7,28.62,12.6
Boston,2019,7,35.32,9.8
Seattle,2019,7,36.95,8.2
Chicago,2019,7,29.52,14.7
Orlando,2019,7,21.61,11.4
Nashville,2019,7,32.07,10.9
Washington DC,2019,7,39.32,14.7
National,2019,12,37.73,13.4
San Francisco,2019,12,69.27,8.2
Manhattan,2019,12,85.41,7.4
Bay Area,2019,12,47.77,13.6
Miami,2019,12,41.68,11.7
Brooklyn,2019,12,56.41,10.5
Tampa,2019,12,29.59,11.2
Atlanta,2019,12,27.69,16.2
Austin,2019,12,40.24,8.7
Charlotte,2019,12,28.2,10.7
Houston,2019,12,29.46,21.4
San Diego,2019,12,38.5,11.9
Los Angeles,2019,12,39.19,12.4
Phoenix,2019,12,27.17,18.5
Twin Cities,2019,12,26.87,11.9
Portland,2019,12,29.5,11.5
Philadelphia,2019,12,29.08,13.2
Washington DC,2019,12,39.2,14.3
Dallas,2019,12,28.11,17.6
Nashville,2019,12,30.01,11.0
Denver,2019,12,28.05,12.4
Orlando,2019,12,21.48,12.2
New Jersey,2019,12,31.44,20.8
Seattle,2019,12,37.53,8.1
Chicago,2019,12,27.95,15.5
Boston,2019,12,34.42,9.5
National,2021,9,38.62,14.9
Los Angeles,2021,9,41.62,13.0
Bay Area,2021,9,55.79,16.3
Tampa,2021,9,29.7,15.6
Miami,2021,9,43.43,13.6
Denver,2021,9,30.25,16.5
Austin,2021,9,43.7,15.7
Boston,2021,9,34.81,11.7
Philadelphia,2021,9,29.6,12.0
Washington DC,2021,9,42.01,14.7
Orlando,2021,9,22.13,15.3
Nashville,2021,9,30.9,17.2
Phoenix,2021,9,28.01,16.0
New Jersey,2021,9,33.14,18.7
San Diego,2021,9,38.9,13.3
Dallas,2021,9,28.66,18.2
Portland,2021,9,29.97,13.7
Atlanta,2021,9,27.64,19.9
Charlotte,2021,9,29.0,14.6
Chicago,2021,9,28.12,16.9
Houston,2021,9,30.18,21.7
Twin Cities,2021,9,26.8,14.5
San Francisco,2021,9,69.18,15.0
Manhattan,2021,9,83.52,10.8
Seattle,2021,9,35.79,15.5
Brooklyn,2021,9,48.08,14.9
National,2023,4,38.23,16.7
San Diego,2023,4,47.7,14.7
Philadelphia,2023,4,31.29,13.2
Boston,2023,4,42.46,10.1
Seattle,2023,4,39.73,19.0
Orlando,2023,4,24.62,15.5
Twin Cities,2023,4,26.96,16.8
Portland,2023,4,29.39,16.5
New Jersey,2023,4,33.77,16.6
Atlanta,2023,4,30.51,19.7
Manhattan,2023,4,74.02,16.8
San Francisco,2023,4,65.37,19.4
Chicago,2023,4,27.92,18.8
Phoenix,2023,4,27.33,18.3
Denver,2023,4,30.46,19.9
Charlotte,2023,4,32.55,11.8
Tampa,2023,4,27.9,16.0
Washington DC,2023,4,40.37,15.2
Los Angeles,2023,4,42.45,14.4
Nashville,2023,4,30.46,17.7
Dallas,2023,4,28.54,17.2
Houston,2023,4,30.15,21.5
Austin,2023,4,41.41,22.0
Miami,2023,4,46.6,12.1
Bay Area,2023,4,55.08,17.1
Brooklyn,2023,4,48.83,19.4
National,2019,4,36.4,13.7
Austin,2019,4,40.43,9.1
Brooklyn,2019,4,53.72,8.2
Bay Area,2019,4,47.55,14.9
San Francisco,2019,4,67.94,8.7
Tampa,2019,4,26.12,11.1
Nashville,2019,4,29.23,10.4
Twin Cities,2019,4,26.7,12.4
Los Angeles,2019,4,38.62,13.4
Houston,2019,4,29.62,21.0
Charlotte,2019,4,27.86,10.1
Orlando,2019,4,21.76,14.0
Dallas,2019,4,28.0,18.7
Washington DC,2019,4,39.39,14.7
New Jersey,2019,4,32.08,20.4
Atlanta,2019,4,25.87,16.0
Philadelphia,2019,4,29.35,13.0
Manhattan,2019,4,74.29,8.5
Phoenix,2019,4,27.21,16.8
Denver,2019,4,27.89,13.9
Portland,2019,4,27.77,12.6
Boston,2019,4,39.74,9.9
Miami,2019,4,38.18,13.5
San Diego,2019,4,36.58,12.3
Seattle,2019,4,37.57,8.7
Chicago,2019,4,29.47,14.7
National,2020,8,38.32,13.3
Manhattan,2020,8,88.61,8.4
San Diego,2020,8,43.03,12.9
Bay Area,2020,8,52.32,13.8
Miami,2020,8,41.65,12.4
Los Angeles,2020,8,39.01,12.0
Denver,2020,8,29.1,11.2
Houston,2020,8,30.64,21.8
New Jersey,2020,8,32.21,19.3
Atlanta,2020,8,27.04,17.2
Orlando,2020,8,21.42,12.3
Austin,2020,8,42.33,10.0
Boston,2020,8,35.35,10.2
Washington DC,2020,8,39.84,15.1
Charlotte,2020,8,28.38,10.7
Twin Cities,2020,8,26.91,10.8
Phoenix,2020,8,27.23,17.5
Dallas,2020,8,27.53,18.3
Portland,2020,8,29.31,12.3
Chicago,2020,8,28.72,14.5
Seattle,2020,8,36.59,8.9
Philadelphia,2020,8,28.38,12.3
Nashville,2020,8,29.71,10.3
Tampa,2020,8,27.49,11.6
Brooklyn,2020,8,51.05,13.4
San Francisco,2020,8,64.12,8.7
National,2023,12,37.64,18.3
Boston,2023,12,47.27,11.8
New Jersey,2023,12,34.88,19.8
Tampa,2023,12,28.64,13.3
Philadelphia,2023,12,31.9,14.3
Denver,2023,12,30.22,22.2
Detroit,2023,12,21.34,25.0
Houston,2023,12,29.88,24.0
Atlanta,2023,12,30.55,17.1
